customer_id,activation_date,churn_date,study_end_date,last_observed_date,churn_label,customer_status,survival_time_days,survival_time_months,age,marital_status,monthly_charges,device_type,internet_service,contract_type,payment_method,tech_support,online_security,streaming_tv
CUST-00001,06/12/2025,,31/03/2026,31/03/2026,0,No,115,3.778,20,Married,14.4,Tablet,DSL,Month-to-month,Card,No,Not applicable,Not applicable
CUST-00002,05/05/2025,,31/03/2026,31/03/2026,0,No,330,10.842,33,Single,26.2,Smartphone,Mobile Data,12-month,Cash/Agent,No,Yes,Not applicable
CUST-00003,17/02/2026,,31/03/2026,31/03/2026,0,No,42,1.38,68,Single,48.81,Smartphone,Mobile Data,12-month,Cash/Agent,Yes,Yes,Yes
CUST-00004,02/09/2025,10/12/2025,31/03/2026,10/12/2025,1,Yes,99,3.253,34,Married,64.25,Router/MiFi,Fiber,Month-to-month,Bank Transfer,Yes,Not applicable,Yes
CUST-00005,21/04/2025,31/03/2026,31/03/2026,31/03/2026,1,Yes,344,11.302,35,Married,60.7,Feature Phone,Fiber,Month-to-month,Bank Transfer,Yes,Not applicable,Yes
CUST-00006,29/03/2026,31/03/2026,31/03/2026,31/03/2026,1,Yes,2,0.066,18,Single,40.38,Smartphone,4G/5G Fixed Wireless,Month-to-month,Cash/Agent,No,Yes,No
CUST-00007,19/11/2025,31/03/2026,31/03/2026,31/03/2026,1,Yes,132,4.337,47,Divorced/Widowed,43.73,Smartphone,Fiber,Month-to-month,Card,Yes,Yes,Not applicable
CUST-00008,18/06/2025,27/06/2025,31/03/2026,27/06/2025,1,Yes,9,0.296,57,Divorced/Widowed,40.24,Tablet,Mobile Data,Month-to-month,Mobile Money,No,Not applicable,Yes
CUST-00009,16/01/2026,,31/03/2026,31/03/2026,0,No,74,2.431,37,Married,51.17,Router/MiFi,4G/5G Fixed Wireless,Month-to-month,Mobile Money,No,No,Not applicable
CUST-00010,14/02/2025,,31/03/2026,31/03/2026,0,No,410,13.47,78,Single,38.09,Feature Phone,Mobile Data,Month-to-month,Card,Yes,Yes,No
CUST-00011,08/01/2025,01/04/2025,31/03/2026,01/04/2025,1,Yes,83,2.727,26,Married,78.02,Smartphone,Fiber,Month-to-month,Card,No,Not applicable,Not applicable
CUST-00012,04/07/2025,,31/03/2026,31/03/2026,0,No,270,8.871,67,Single,63.72,Smartphone,Fiber,12-month,Cash/Agent,No,No,Not applicable
CUST-00013,01/01/2025,31/03/2026,31/03/2026,31/03/2026,1,Yes,454,14.916,48,Married,62.38,Smartphone,Fiber,Month-to-month,Mobile Money,No,Not applicable,No
CUST-00014,29/07/2025,,31/03/2026,31/03/2026,0,No,245,8.049,49,Single,55.24,Router/MiFi,4G/5G Fixed Wireless,Month-to-month,Mobile Money,No,No,No
CUST-00015,11/10/2025,,31/03/2026,31/03/2026,0,No,171,5.618,42,Married,20.82,Smartphone,Mobile Data,Month-to-month,Mobile Money,No,Yes,Not applicable
CUST-00016,15/06/2025,22/12/2025,31/03/2026,22/12/2025,1,Yes,190,6.242,76,Married,28.63,Smartphone,4G/5G Fixed Wireless,Month-to-month,Bank Transfer,Yes,Not applicable,Not applicable
CUST-00017,13/05/2025,,31/03/2026,31/03/2026,0,No,322,10.579,50,Married,18.99,Smartphone,None,Month-to-month,Bank Transfer,Yes,Not applicable,No
CUST-00018,21/04/2025,08/10/2025,31/03/2026,08/10/2025,1,Yes,170,5.585,37,Married,52.55,Tablet,4G/5G Fixed Wireless,Month-to-month,Mobile Money,No,Yes,Yes
