customer_id,gender,age,senior_citizen,married,dependents,number_of_dependents,referred_a_friend,number_of_referrals,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,churn_label,tenure_in_months
1,Male,78,Yes,No,No,0,No,0,None,No,0,No,Yes,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,Yes,1
2,Female,74,Yes,Yes,Yes,1,Yes,1,Offer E,Yes,48.85,Yes,Yes,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Yes,8
3,Male,71,Yes,No,Yes,3,No,0,Offer D,Yes,11.33,Yes,Yes,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,18
4,Female,78,Yes,Yes,Yes,1,Yes,1,Offer C,Yes,19.76,No,Yes,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,25
5,Female,80,Yes,Yes,Yes,1,Yes,1,Offer C,Yes,6.33,Yes,Yes,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,37
6,Female,72,Yes,No,Yes,1,No,0,Offer C,Yes,3.33,Yes,Yes,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Yes,27
7,Female,76,Yes,Yes,Yes,2,Yes,1,Offer E,Yes,15.28,No,Yes,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,Yes,1
8,Male,66,Yes,Yes,No,0,Yes,6,Offer B,No,0,No,Yes,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,58
9,Female,70,Yes,No,Yes,2,No,0,Offer D,Yes,44.07,Yes,Yes,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,Yes,15
10,Female,77,Yes,No,Yes,2,No,0,Offer E,Yes,26.95,No,Yes,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,Yes,7
